Buildfile: C:\Users\Albert\Battlecode2013\build.xml

-init:

build-scala:

build:
    [javac] C:\Users\Albert\Battlecode2013\build.xml:64: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds

run:
     [java] amd64
     [java] opengl = false
     [java] minimap = false
     [java] Matchviewer 2
     [java] null null A B null
     [java] Creating a game%%%%%%%%%
     [java] [server] -------------------- Match Starting --------------------
     [java] [server]            base vs. donothing on empty
     [java] Round: 0
     [java] 0	38	2	9302	base.EncampmentJobSystem.initializeConstants(EncampmentJobSystem.java:68)
     [java] 0	38	3	9300	base.EncampmentJobSystem.initializeConstants(EncampmentJobSystem.java:69)
     [java] 0	38	102	9297	base.EncampmentJobSystem.initializeConstants(EncampmentJobSystem.java:71)
     [java] 0	38	1	9195	base.EncampmentJobSystem.initializeConstants(EncampmentJobSystem.java:71)
     [java] 0	38	4	9194	base.EncampmentJobSystem.initializeConstants(EncampmentJobSystem.java:72)
     [java] 0	38	4	9190	base.EncampmentJobSystem.initializeConstants(EncampmentJobSystem.java:76)
     [java] 0	38	3	9186	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:415)
     [java] 0	38	4	9183	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:418)
     [java] 0	38	2	9179	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:419)
     [java] 0	38	1	9177	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:419)
     [java] 0	38	3	9176	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:419)
     [java] 0	38	4	9173	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:427)
     [java] 0	38	2	9169	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	1	9167	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	9166	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	18	9162	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:429)
     [java] 0	38	1	9144	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	9143	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	18	9139	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:429)
     [java] 0	38	1	9121	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	9120	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	18	9116	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:429)
     [java] 0	38	1	9098	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	9097	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	18	9093	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:429)
     [java] 0	38	1	9075	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	9074	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	18	9070	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:429)
     [java] 0	38	1	9052	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	9051	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	18	9047	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:429)
     [java] 0	38	1	9029	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	9028	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	18	9024	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:429)
     [java] 0	38	1	9006	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	9005	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	18	9001	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:429)
     [java] 0	38	1	8983	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	8982	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:428)
     [java] 0	38	4	8978	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:432)
     [java] 0	38	2	8974	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:434)
     [java] 0	38	2	8972	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:435)
     [java] 0	38	2	8970	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:436)
     [java] 0	38	2	8968	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:437)
     [java] 0	38	1	8966	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:437)
     [java] 0	38	3	8965	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:437)
     [java] 0	38	2	8962	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:438)
     [java] 0	38	2	8960	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	1	8958	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8957	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8953	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8948	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8944	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8940	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:441)
     [java] 0	38	4	8936	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:442)
     [java] 0	38	2	8932	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:443)
     [java] 0	38	1	8930	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8929	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8925	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8920	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8916	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8912	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:441)
     [java] 0	38	4	8908	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:442)
     [java] 0	38	2	8904	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:443)
     [java] 0	38	1	8902	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8901	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8897	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	1	8892	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8891	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8887	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	1	8882	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8881	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8877	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	1	8872	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8871	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8867	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	1	8862	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8861	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8857	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	1	8852	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8851	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8847	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	1	8842	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8841	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8837	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:446)
     [java] 0	38	4	8833	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:447)
     [java] 0	38	1	8829	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:437)
     [java] 0	38	3	8828	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:437)
     [java] 0	38	2	8825	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:438)
     [java] 0	38	2	8823	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	1	8821	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	4	8820	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
     [java] 0	38	5	8816	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8811	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8807	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:440)
     [java] 0	38	4	8803	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:441)
     [java] 0	38	4	8799	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:442)
     [java] 0	38	2	8795	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:443)
     [java] 0	38	1	8793	base.EncampmentJobSystem.getClosestMapLocations(EncampmentJobSystem.java:439)
